ID_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;NOM_SER;DEP_CA;PROV_CA;DIST_CA;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;NNA_DEJO_CALLE
SEC04027;1;2018-03-14;7;3;PERÚ;2;EDUCADORES DE CALLE;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;25/08/2024;1;1;1;NO APLICA;1
SEC04028;2;2018-04-23;7;3;PERÚ;2;EDUCADORES DE CALLE;PUNO;SAN ROMAN;JULIACA;22/06/2023;1;1;2;2025-06-19;2
SEC04029;2;2018-11-16;6;3;PERÚ;2;EDUCADORES DE CALLE;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;14/09/2024;1;1;1;NO APLICA;2
SEC04030;2;2019-04-25;6;3;PERÚ;2;EDUCADORES DE CALLE;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;22/09/2024;1;1;1;NO APLICA;2
SEC04031;1;2019-12-11;5;2;PERÚ;2;EDUCADORES DE CALLE;AREQUIPA;AREQUIPA;CERRO COLORADO;6/03/2025;1;2;1;NO APLICA;2
SEC04032;2;2017-01-05;8;3;PERÚ;2;EDUCADORES DE CALLE;PUNO;PUNO;PUNO;30/05/2023;1;1;1;NO APLICA;2
SEC04033;1;2017-11-04;7;3;PERÚ;2;EDUCADORES DE CALLE;AREQUIPA;AREQUIPA;CERRO COLORADO;18/07/2025;1;1;1;NO APLICA;2
SEC04034;2;2019-01-30;6;3;PERÚ;2;EDUCADORES DE CALLE;PUNO;PUNO;PUNO;18/07/2025;1;1;1;NO APLICA;2
SEC04035;1;2010-03-22;15;4;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;LA VICTORIA;10/07/2025;1;1;1;NO APLICA;2
SEC04036;1;2013-08-19;11;3;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;LA VICTORIA;10/07/2025;1;1;1;NO APLICA;2
SEC04037;1;2018-02-25;7;3;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;LA VICTORIA;10/07/2025;1;1;1;NO APLICA;2
SEC04038;2;2015-07-04;10;3;PERÚ;2;EDUCADORES DE CALLE;MOQUEGUA;MARISCAL NIETO;MOQUEGUA;24/01/2023;1;1;1;NO APLICA;1
