ID_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;NOM_SER;DEP_CA;PROV_CA;DIST_CA;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;NNA_DEJO_CALLE
6******8CAR;2;2009-04-13;15;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-03-14;1;1;1;NO APLICA;2
7******1CAJ;1;2015-02-22;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-03-14;1;1;1;NO APLICA;2
7******5CCJ;1;2014-11-11;10;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-01-30;1;1;1;NO APLICA;2
6******2CSR;2;2009-09-02;15;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-08;1;1;1;NO APLICA;2
6******7CSK;2;2011-11-04;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-08;1;1;1;NO APLICA;2
6******5CTY;1;2008-08-17;16;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-15;1;1;1;NO APLICA;2
8******2CTY;1;2012-09-29;12;4;PERÚ;1;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-15;1;1;1;NO APLICA;2
9******5CTY;2;2017-02-03;7;3;PERÚ;1;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-15;1;1;1;NO APLICA;2
7******9CCT;1;2013-10-27;11;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-08-08;1;1;1;NO APLICA;2
7******4CBE;1;2015-11-27;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-07;1;1;1;NO APLICA;2
7******9CRJ;1;2011-08-16;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-04-23;1;1;1;NO APLICA;2
6******2CMK;2;2012-01-07;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-01-10;1;1;1;NO APLICA;2
6******2CHA;2;2011-07-22;13;4;PERÚ;1;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-05-04;1;1;1;NO APLICA;2
7******3CHL;2;2016-02-19;8;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-05-27;1;1;1;NO APLICA;2
7******8CHR;2;2015-05-02;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-05-04;1;1;1;NO APLICA;2
7******6CHR;1;2008-12-20;16;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-05-24;1;1;1;NO APLICA;2
9******7CLA;2;2017-12-20;7;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-11-01;1;5;1;NO APLICA;2
