ID_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;NOM_SER;DEP_CA;PROV_CA;DIST_CA;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;NNA_DEJO_CALLE
SEC06972;1;2018-01-27;7;3;PERÚ;2;EDUCADORES DE CALLE;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;2024-05-15;1;1;1;NO APLICA;2
SEC06973;1;2012-07-26;13;4;PERÚ;2;EDUCADORES DE CALLE;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;2025-01-22;1;1;1;NO APLICA;2
SEC06974;2;2013-11-28;11;3;PERÚ;2;EDUCADORES DE CALLE;JUNÍN;HUANCAYO;HUANCAYO;2025-08-26;1;1;1;NO APLICA;2
SEC06975;2;2015-11-27;9;3;PERÚ;2;EDUCADORES DE CALLE;ICA;ICA;ICA;2024-03-25;1;1;1;NO APLICA;2
SEC06976;2;2015-11-20;9;3;PERÚ;2;EDUCADORES DE CALLE;JUNÍN;HUANCAYO;HUANCAYO;2025-08-26;1;1;1;NO APLICA;2
SEC06977;2;2016-12-12;8;3;PERÚ;2;EDUCADORES DE CALLE;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;2025-01-22;1;1;1;NO APLICA;2
SEC06978;1;2017-08-25;8;3;PERÚ;2;EDUCADORES DE CALLE;JUNÍN;HUANCAYO;HUANCAYO;2025-08-26;1;1;1;NO APLICA;2
SEC06979;1;2018-01-27;7;3;PERÚ;2;EDUCADORES DE CALLE;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;2024-05-15;1;1;1;NO APLICA;2
SEC06980;2;2019-02-01;6;3;PERÚ;2;EDUCADORES DE CALLE;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;2025-01-16;1;1;1;NO APLICA;2
SEC06981;2;2013-10-28;11;3;PERÚ;2;EDUCADORES DE CALLE;PUNO;SAN ROMAN;JULIACA;2025-03-20;1;1;1;NO APLICA;2
SEC06982;1;2008-03-13;17;4;PERÚ;2;EDUCADORES DE CALLE;HUÁNUCO;HUÁNUCO;PILLCO MARCA;2021-10-30;1;1;1;NO APLICA;1
SEC06983;1;2009-09-20;15;4;PERÚ;2;EDUCADORES DE CALLE;LIMA;HUARAL;CHANCAY;2023-08-11;1;1;1;NO APLICA;1
SEC06984;1;2013-03-13;12;4;PERÚ;2;EDUCADORES DE CALLE;HUÁNUCO;HUÁNUCO;PILLCO MARCA;2021-10-30;1;1;1;NO APLICA;1
SEC06985;2;2012-06-09;13;4;PERÚ;2;EDUCADORES DE CALLE;LIMA;HUARAL;CHANCAY;2023-08-01;1;1;1;NO APLICA;2
SEC06986;2;2014-07-27;11;3;PERÚ;2;EDUCADORES DE CALLE;LIMA;HUARAL;CHANCAY;2023-08-01;1;1;1;NO APLICA;2
SEC06987;2;2018-08-06;7;3;PERÚ;2;EDUCADORES DE CALLE;ANCASH;SANTA;NUEVO CHIMBOTE;2025-07-22;1;1;1;NO APLICA;2
SEC06988;1;2009-08-11;16;4;PERÚ;2;EDUCADORES DE CALLE;LA LIBERTAD;TRUJILLO;TRUJILLO;2023-12-19;1;1;1;NO APLICA;2
SEC06989;1;2008-02-29;17;4;PERÚ;2;EDUCADORES DE CALLE;JUNÍN;HUANCAYO;HUANCAYO;2023-03-31;1;1;1;NO APLICA;1
SEC06990;2;2014-12-30;10;3;PERÚ;2;EDUCADORES DE CALLE;LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;2025-08-22;1;1;1;NO APLICA;2
SEC06991;2;2016-10-01;8;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-11-10;1;1;1;NO APLICA;2
SEC06992;1;2025-05-03;0;1;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;LIMA;2025-07-17;2;1;1;NO APLICA;2
SEC06993;2;2013-08-23;12;4;PERÚ;2;EDUCADORES DE CALLE;PASCO;PASCO;CHAUPIMARCA;2023-03-28;1;1;2;2025-03-24;2
SEC06994;1;2018-11-28;6;3;PERÚ;2;EDUCADORES DE CALLE;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;2023-12-22;1;1;1;NO APLICA;1
SEC06995;1;2012-12-01;12;4;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;SAN BORJA;2025-07-21;2;1;1;NO APLICA;2
SEC06996;1;2015-07-19;10;3;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;SAN BORJA;2025-07-21;2;1;1;NO APLICA;2
SEC06997;2;2019-12-13;5;2;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;SAN BORJA;2025-07-21;2;1;1;NO APLICA;2
SEC06998;1;2008-12-27;16;4;PERÚ;2;EDUCADORES DE CALLE;UCAYALI;CORONEL PORTILLO;CALLERIA;2024-03-22;1;1;1;NO APLICA;2
SEC06999;1;2013-04-18;12;4;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;LIMA;2023-05-11;3;1;1;NO APLICA;2
SEC07000;2;2012-02-09;13;4;PERÚ;2;EDUCADORES DE CALLE;ANCASH;SANTA;NUEVO CHIMBOTE;2022-01-26;1;1;1;NO APLICA;2
SEC07001;2;2010-11-07;14;4;PERÚ;2;EDUCADORES DE CALLE;ANCASH;SANTA;NUEVO CHIMBOTE;2022-01-26;1;1;1;NO APLICA;2
SEC07002;2;2009-01-04;16;4;VENEZUELA;2;EDUCADORES DE CALLE;ANCASH;SANTA;NUEVO CHIMBOTE;2023-02-01;1;1;1;NO APLICA;2
SEC07003;2;2021-09-16;3;2;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;ATE;2022-06-28;2;1;2;2025-03-26;2
SEC07004;2;2017-07-27;8;3;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;MAGDALENA;2025-06-06;1;1;1;NO APLICA;2
SEC07005;2;2011-03-06;14;4;PERÚ;2;EDUCADORES DE CALLE;AYACUCHO;HUAMANGA;AYACUCHO;2019-09-20;1;1;1;NO APLICA;1
SEC07006;1;2015-01-08;10;3;PERÚ;2;EDUCADORES DE CALLE;PUNO;PUNO;PUNO;2022-10-24;1;1;1;NO APLICA;2
SEC07007;2;2019-03-02;6;3;PERÚ;2;EDUCADORES DE CALLE;UCAYALI;CORONEL PORTILLO;YARINACOCHA;2025-04-03;1;1;1;NO APLICA;2
SEC07008;1;2021-06-04;4;2;PERÚ;2;EDUCADORES DE CALLE;CAJAMARCA;CAJAMARCA;CAJAMARCA;2024-05-24;1;1;1;NO APLICA;2
SEC07009;1;2012-02-02;13;4;PERÚ;2;EDUCADORES DE CALLE;CAJAMARCA;CAJAMARCA;CAJAMARCA;2022-11-22;1;1;1;NO APLICA;2
SEC07010;2;2011-01-20;14;4;PERÚ;2;EDUCADORES DE CALLE;CAJAMARCA;CAJAMARCA;CAJAMARCA;2024-04-22;1;1;1;NO APLICA;2
SEC07011;2;2016-08-08;9;3;PERÚ;2;EDUCADORES DE CALLE;LA LIBERTAD;TRUJILLO;TRUJILLO;2024-08-23;1;1;1;NO APLICA;2
